epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,427.092,1.55783,1.12137,0.88221,0.65921,1,0.82833,0.35132,1.65774,7.73462,0.6496,0.000490728,0.000490728,0.000490728
44,442.223,2.26371,2.23105,0.79686,0.65921,1,0.82833,0.35132,1.65774,7.73462,0.6496,0.000493898,0.000493898,0.000493898
45,452.184,2.45819,1.73494,0.91578,0.65235,1,0.82833,0.40371,1.65429,4.63917,0.6531,0.000496672,0.000496672,0.000496672
46,461.323,2.00361,1.65056,0.74361,0.65235,1,0.82833,0.40371,1.65429,4.63917,0.6531,0.00049905,0.00049905,0.00049905
47,470.194,2.26038,1.67091,0.95144,0.98709,1,0.995,0.57188,1.45754,3.31674,0.64514,0.000501032,0.000501032,0.000501032
48,477.714,2.41262,1.85925,0.83786,0.98709,1,0.995,0.57188,1.45754,3.31674,0.64514,0.000502618,0.000502618,0.000502618
49,485.08,2.77144,1.6551,0.873,1,0.98476,0.995,0.67141,1.24571,3.19069,0.64305,0.000503808,0.000503808,0.000503808
50,491.981,1.52033,1.85167,0.8075,1,0.98476,0.995,0.67141,1.24571,3.19069,0.64305,0.000504602,0.000504602,0.000504602
51,499.822,2.08499,1.1971,0.82595,1,0.94486,0.995,0.82082,0.98534,3.14203,0.64293,0.000505,0.000505,0.000505
52,506.884,1.57791,1.09549,0.84611,1,0.94486,0.995,0.82082,0.98534,3.14203,0.64293,0.000505002,0.000505002,0.000505002
53,514.456,2.11682,1.88234,0.85508,1,0.94486,0.995,0.82082,0.98534,3.14203,0.64293,0.000504608,0.000504608,0.000504608
54,522.113,1.98432,1.71594,0.82558,0.98595,1,0.995,0.89514,0.8198,1.86921,0.65272,0.000503818,0.000503818,0.000503818
55,530.217,1.38769,1.17231,0.89859,0.98595,1,0.995,0.89514,0.8198,1.86921,0.65272,0.000502632,0.000502632,0.000502632
56,538.774,1.77888,1.58977,0.82998,0.98595,1,0.995,0.89514,0.8198,1.86921,0.65272,0.00050105,0.00050105,0.00050105
57,547.701,1.85111,1.33859,0.80458,0.98916,1,0.995,0.84524,0.8226,4.77231,0.64124,0.000499072,0.000499072,0.000499072
58,554.545,1.73173,1.44621,0.77169,0.98916,1,0.995,0.84524,0.8226,4.77231,0.64124,0.000496698,0.000496698,0.000496698
59,564.139,2.23133,1.69113,0.88834,0.98916,1,0.995,0.84524,0.8226,4.77231,0.64124,0.000493928,0.000493928,0.000493928
