epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.039,0,227.729,0,0,0,0,0,0,36.4452,0,0,0,0
2,24.8037,0,224.017,0,0,0,0,0,0,31.0026,0,1.9604e-05,1.9604e-05,1.9604e-05
3,32.8043,0,166.506,0,0,0,0,0,0,27.1576,0,3.8416e-05,3.8416e-05,3.8416e-05
4,40.0512,0,133.764,0,0,0,0,0,0,33.0525,0,5.6436e-05,5.6436e-05,5.6436e-05
5,47.3453,0,108.719,0,0,0,0,0,0,44.5965,0,7.3664e-05,7.3664e-05,7.3664e-05
6,54.4126,0,97.3168,0,0,0,0,0,0,44.1572,0,9.01e-05,9.01e-05,9.01e-05
7,61.5457,0,86.5295,0,0,0,0,0,0,37.8473,0,0.000105744,0.000105744,0.000105744
8,68.3753,0,77.7695,0,0,0,0,0,0,32.7967,0,0.000120596,0.000120596,0.000120596
9,75.2954,0,69.986,0,0,0,0,0,0,30.6602,0,0.000134656,0.000134656,0.000134656
10,82.2121,0,66.2725,0,0,0,0,0,0,30.4927,0,0.000147924,0.000147924,0.000147924
11,89.5873,0,58.308,0,0,0,0,0,0,30.0417,0,0.0001604,0.0001604,0.0001604
12,96.4221,0,54.9977,0,0,0,0,0,0,31.5583,0,0.000172084,0.000172084,0.000172084
13,103.123,0,57.0384,0,0,0,0,0,0,35.8243,0,0.000182976,0.000182976,0.000182976
14,109.576,0,48.0945,0,0,0,0,0,0,44.1172,0,0.000193076,0.000193076,0.000193076
15,117.087,0,43.4044,0,0,0,0,0,0,47.503,0,0.000202384,0.000202384,0.000202384
16,124.322,0,39.7938,0,0,0,0,0,0,33.2034,0,0.0002109,0.0002109,0.0002109
17,130.746,0,36.2333,0,0,0,0,0,0,30.2047,0,0.000218624,0.000218624,0.000218624
18,137.12,0,29.5431,0,0,0,0,0,0,30.2047,0,0.000225556,0.000225556,0.000225556
19,144.4,0,30.685,0,0,0,0,0,0,27.1483,0,0.000231696,0.000231696,0.000231696
20,152.287,0,27.3807,0,0,0,0,0,0,27.1483,0,0.000237044,0.000237044,0.000237044
21,159.97,0,28.446,0,0,0,0,0,0,24.7466,0,0.0002416,0.0002416,0.0002416
22,167.968,0,22.7922,0,0,0,0,0,0,24.7466,0,0.000245364,0.000245364,0.000245364
23,175.646,0,24.156,0,0,0,0,0,0,28.8409,0,0.000248336,0.000248336,0.000248336
24,182.738,0,25.8159,0,0,0,0,0,0,28.8409,0,0.000250516,0.000250516,0.000250516
25,189.971,0,20.5691,0,0,0,0,0,0,26.0739,0,0.000251904,0.000251904,0.000251904
26,197.055,0,18.4606,0,0,0,0,0,0,26.0739,0,0.0002525,0.0002525,0.0002525
27,203.599,0,18.4982,0,0,0,0,0,0,17.9425,0,0.000252304,0.000252304,0.000252304
28,210.023,0,17.9325,0,0,0,0,0,0,17.9425,0,0.000251316,0.000251316,0.000251316
29,216.625,0,17.2343,0,0,0,0,0,0,16.8406,0,0.000249536,0.000249536,0.000249536
30,223.559,0,15.2324,0,0,0,0,0,0,16.8406,0,0.000246964,0.000246964,0.000246964
31,230.239,0,14.8188,0,0,0,0,0,0,19.0508,0,0.0002436,0.0002436,0.0002436
32,236.333,0,13.9726,0,0,0,0,0,0,19.0508,0,0.000239444,0.000239444,0.000239444
33,242.755,0,14.1088,0,0,0,0,0,0,21.0573,0,0.000234496,0.000234496,0.000234496
34,248.844,0,12.764,0,0,0,0,0,0,21.0573,0,0.000228756,0.000228756,0.000228756
35,255.346,0,12.8923,0,0,0,0,0,0,16.9615,0,0.000222224,0.000222224,0.000222224
36,261.761,0,11.2826,0,0,0,0,0,0,16.9615,0,0.0002149,0.0002149,0.0002149
37,268.134,0,10.6491,0,0,0,0,0,0,9.70504,0,0.000206784,0.000206784,0.000206784
38,274.346,0,23.3022,0,0,0,0,0,0,9.70504,0,0.000197876,0.000197876,0.000197876
39,280.738,0,14.0872,0,0,0,0,0,0,5.94999,0,0.000188176,0.000188176,0.000188176
40,286.818,0,10.436,0,0,0,0,0,0,5.94999,0,0.000177684,0.000177684,0.000177684
41,293.671,0,10.496,0,0,0,0,0,0,4.5187,0,0.0001664,0.0001664,0.0001664
42,300.073,0,16.1104,0,0,0,0,0,0,4.5187,0,0.000154324,0.000154324,0.000154324
43,306.685,0,10.0744,0,0,0,0,0,0,3.72782,0,0.000141456,0.000141456,0.000141456
44,313.257,0,9.80263,0,0,0,0,0,0,3.72782,0,0.000127796,0.000127796,0.000127796
45,320.472,0,9.33407,0,0,0,0,0,0,3.49644,0,0.000113344,0.000113344,0.000113344
46,327.715,0,9.18041,0,0,0,0,0,0,3.49644,0,9.81e-05,9.81e-05,9.81e-05
47,335.901,0,9.54633,0,0,0,0,0,0,3.56547,0,8.2064e-05,8.2064e-05,8.2064e-05
48,342.453,0,9.322,0,0,0,0,0,0,3.56547,0,6.5236e-05,6.5236e-05,6.5236e-05
49,348.988,0,9.14114,0,0,0,0,0,0,3.43422,0,4.7616e-05,4.7616e-05,4.7616e-05
50,356.541,0,8.44961,0,0,0,0,0,0,3.43422,0,2.9204e-05,2.9204e-05,2.9204e-05
